snout_X,snout_Y,snout_Z,mid1_X,mid1_Y,mid1_Z,mid2_X,mid2_Y,mid2_Z,mid3_X,mid3_Y,mid3_Z,mid4_X,mid4_Y,mid4_Z,peduncle_X,peduncle_Y,peduncle_Z,caudaltip_X,caudaltip_Y,caudaltip_Z
219.9119,479.7833,2.1473,200.6079,482.0485,-1.0430,180.6437,485.7196,-3.3607,161.4016,492.4465,-2.3793,143.2692,499.8607,1.1205,123.4883,504.7673,3.3243,102.7345,504.7541,2.2774
221.3263,480.1689,2.7142,201.9939,482.1493,-0.1528,181.6527,485.1046,-3.2472,162.3969,491.3134,-3.0654,144.4878,498.9406,-0.0159,124.6678,504.9222,3.1713,104.1116,505.8875,3.3546
222.3753,480.1858,3.2955,203.3450,482.3931,0.9930,182.6743,484.9427,-2.6388,163.4128,490.1671,-3.5244,145.1928,497.8224,-0.9114,125.9334,505.0998,2.7607,105.6591,507.4556,3.3165
223.5602,480.4997,3.3532,204.7379,482.9342,1.7539,184.3298,485.0552,-1.6511,164.4554,489.4018,-3.4512,145.9935,496.3883,-1.8783,127.1439,504.6202,2.0019,106.8084,508.1108,3.5380
225.0346,480.7030,3.4378,206.0420,483.0340,2.8280,185.4452,484.8641,-0.8051,165.2738,487.9812,-3.4302,146.8444,495.0545,-2.6125,127.9216,503.4873,0.9272,108.2190,508.7857,3.5052
226.2110,480.3447,2.9742,207.6234,483.5698,3.2109,186.4751,485.0466,0.3292,166.3973,487.7460,-2.9601,147.8636,493.6155,-3.0747,129.1441,502.5234,-0.0904,109.5234,508.8380,3.1380
227.3161,480.2321,2.7034,208.6783,483.8577,3.4530,187.9300,485.7137,1.4533,167.5969,487.3193,-2.4808,149.1776,492.3352,-3.6641,130.0645,501.0032,-1.1112,110.6995,508.6223,2.6679
228.6586,480.0872,1.7402,209.5860,484.3354,3.3648,189.3275,486.3234,2.2433,168.8084,487.5768,-1.3527,150.1098,491.1642,-3.4803,130.9608,499.1999,-2.3825,111.5841,508.1341,1.6790
229.7142,479.5531,0.6204,211.0739,484.0655,3.2246,190.9791,486.7507,2.8269,170.1235,488.0421,-0.7443,151.0304,490.8360,-3.4440,131.5022,497.6607,-2.8879,112.5280,507.0722,0.6514
230.9298,478.5190,-0.3109,212.2653,484.2245,2.7852,191.9492,487.0076,3.1705,171.0592,488.3846,0.1442,152.0317,490.1421,-2.8895,132.5973,496.3343,-3.0482,113.7912,505.8694,-0.3842
232.0144,478.0843,-1.3802,213.3371,483.7733,1.9863,193.4298,487.7712,3.2508,172.6618,488.7869,1.2591,153.5526,490.2818,-2.3355,133.7684,494.9590,-3.3209,114.5303,504.0532,-1.2878
232.9380,477.1114,-2.1435,214.8948,483.4002,1.2388,194.5387,487.9139,3.7672,174.1998,489.8012,2.3204,154.7243,490.2452,-1.2317,134.6016,493.9696,-3.4569,115.5589,502.7694,-2.0061
234.3051,476.5743,-3.1946,215.6481,482.5733,0.3289,196.0024,488.0755,3.1783,175.5633,490.4212,2.5891,156.2100,490.6500,0.0393,135.4461,493.0061,-2.8379,116.4231,500.6739,-3.2888
235.1632,476.0616,-3.6587,216.8563,481.6618,-0.7889,197.0156,487.8819,2.6547,177.0520,491.1066,3.4715,157.2127,491.3914,0.6424,136.8895,492.6517,-2.4938,117.2623,499.0980,-3.4825
