snout_X,snout_Y,snout_Z,mid1_X,mid1_Y,mid1_Z,mid2_X,mid2_Y,mid2_Z,mid3_X,mid3_Y,mid3_Z,mid4_X,mid4_Y,mid4_Z,peduncle_X,peduncle_Y,peduncle_Z,caudaltip_X,caudaltip_Y,caudaltip_Z
219.8718,480.1316,2.4843,200.8116,481.8317,-1.2685,180.8198,485.7348,-3.6259,161.3605,492.7649,-2.5299,143.2184,499.9419,1.2035,123.6621,504.9483,3.5256,102.4829,504.8099,2.3108
222.4083,480.3037,2.9398,203.0421,482.1872,0.4085,183.1782,484.8708,-3.1253,163.4558,490.3305,-3.3139,145.4561,498.2732,-0.4000,125.8083,504.7538,2.7371,105.3121,506.4080,3.3746
224.8477,480.3174,3.6778,205.6619,482.4557,1.5629,185.4301,484.7579,-1.7385,165.4713,489.2543,-3.7425,147.2347,496.2143,-1.6137,128.1334,504.0201,1.7881,108.0872,507.6762,3.6228
227.4801,480.3676,3.6259,208.2231,482.8171,3.0361,187.8057,484.6103,-0.5420,167.6275,487.5246,-3.1715,149.4141,494.1097,-2.9977,130.3645,502.7009,0.4806,110.6916,508.4945,3.7538
229.8351,479.6098,2.6424,210.6531,483.4523,3.6460,190.3605,484.8838,1.1367,170.1850,486.9884,-2.4525,151.4611,491.9381,-3.7203,132.5024,500.6854,-1.0085,113.0725,507.8485,2.7006
231.9835,479.2226,1.3603,213.3289,483.2154,3.6895,192.7264,485.5347,2.3178,172.4374,486.9133,-1.3733,153.4224,490.4138,-3.5631,134.3856,498.1404,-2.3835,115.2391,507.0946,1.2362
234.2269,478.1020,-0.1114,215.4420,483.4628,3.0199,195.4836,486.4041,3.3928,175.2078,486.9986,-0.0496,155.6595,489.2839,-2.9033,136.1999,495.8543,-3.3428,117.2273,505.1101,0.2100
236.5768,476.9412,-1.4363,218.3289,482.5315,1.9681,198.0635,486.9225,3.4865,177.7623,488.0813,1.5137,158.0656,489.1505,-2.0714,138.3553,493.9628,-3.6330,119.1490,503.0495,-1.5691
238.8447,475.8384,-2.5855,220.3840,481.7216,0.6347,200.6659,486.7745,3.5007,179.9542,488.5568,2.7828,160.5559,489.0345,-0.5113,140.5431,492.6045,-3.3738,121.0441,500.3276,-2.4346
240.6780,474.5470,-3.2296,222.5259,480.3768,-1.0034,203.2362,486.8339,2.4433,183.0020,489.6256,3.3961,163.2243,490.1792,0.6898,142.7499,491.0209,-2.8581,123.2311,497.8050,-3.4900
243.0623,473.6761,-3.6901,224.9658,479.0617,-2.4048,205.3771,485.8826,1.6670,185.3264,490.2458,3.5460,165.7902,491.1306,2.0141,145.2287,491.4745,-1.8087,125.1408,495.6747,-3.5755
245.3268,472.7719,-2.9743,226.9219,477.6205,-3.0652,207.4221,484.6202,0.0816,187.5152,490.3500,2.9997,168.5081,492.2253,3.0153,147.5892,492.1145,-0.0394,127.4715,494.2888,-3.2326
247.9735,472.3391,-2.2378,229.1854,476.2944,-3.3631,209.3024,483.0112,-1.3735,190.4683,489.8013,2.5568,171.3707,493.2990,3.5176,150.3887,493.3995,1.3941,129.7087,493.7357,-2.0215
249.9791,472.1549,-1.0918,231.3018,475.3913,-3.5337,211.6183,481.3839,-2.5550,192.5458,488.9894,1.0564,173.8203,493.5326,3.3495,153.3657,494.7022,2.6512,132.2439,494.1416,-1.1304
252.5717,471.9980,0.5977,233.4349,474.8687,-2.6103,213.8261,479.9588,-3.3383,194.3306,487.4750,-0.4202,176.0129,493.4046,2.5964,156.0833,495.8674,3.3134,135.1071,495.1582,0.4332
255.1875,472.1088,1.7609,235.6943,474.2921,-1.5096,215.9139,478.3279,-3.7897,196.4594,485.7803,-2.0181,178.6874,492.7209,1.8552,158.3165,496.8719,3.4876,137.6788,496.5287,1.9454
257.5819,472.6196,2.9759,238.4720,474.5119,0.1265,218.0360,477.6419,-3.0378,198.7502,483.6879,-2.8269,180.6280,491.2377,0.4881,161.2344,497.2324,3.2111,140.5963,498.1375,3.0026
260.2352,472.6502,3.3990,240.7535,474.7310,1.1644,220.5958,476.9552,-2.4684,200.6758,481.7099,-3.4720,182.7165,489.1212,-1.0877,163.2316,497.1380,2.2333,143.4188,499.9046,3.4904
262.7912,472.4399,3.3913,243.4935,475.0540,2.3718,222.8904,476.8397,-1.0351,203.1299,480.2476,-3.4487,184.7596,487.1415,-2.4803,165.7872,495.8494,0.8403,145.9553,500.5378,3.3950
265.2425,472.3174,3.0836,246.1621,475.6833,3.1735,225.5617,477.1276,0.1694,205.1038,479.5984,-3.0437,186.8896,485.2019,-3.3921,167.7723,493.4710,-0.1873,148.3319,500.6668,2.9204
267.2410,471.3462,2.0634,248.7441,476.1922,3.5600,228.1903,477.5511,1.5795,207.6665,479.1014,-1.8325,188.9552,483.1312,-3.5115,169.6578,491.6579,-1.8714,150.6314,500.1985,1.9869
269.6254,470.9656,0.7949,250.9275,475.8160,3.2507,230.5393,478.4617,2.9995,210.0335,479.3742,-0.5330,190.5998,482.0900,-3.3753,171.7122,489.4409,-2.9247,152.5852,498.1910,0.4972
271.8396,470.0798,-0.8969,253.4540,475.3929,2.4444,233.3831,478.7107,3.5373,212.5113,480.1622,0.9057,193.2497,481.6240,-2.1779,173.5360,486.9823,-3.4401,155.0514,496.0933,-0.9182
273.7160,468.5581,-2.5306,255.4549,474.5311,1.1635,235.8771,479.5046,3.6842,215.4513,481.0576,1.8571,195.8661,481.6321,-1.0578,175.5753,485.2369,-4.0693,156.5491,493.4225,-2.4371
276.3186,467.3227,-3.3176,258.0890,473.4235,-0.2050,238.0655,479.1257,3.0856,218.1411,481.3541,3.2061,198.3485,482.3575,0.0545,178.0088,483.9251,-2.6716,158.5069,491.3546,-3.2527
278.3516,466.1152,-3.4668,260.0558,472.2377,-1.6438,240.5280,478.7197,2.0319,220.5442,482.3072,3.5307,201.0532,483.1621,1.7158,180.3472,483.7655,-1.9959,160.6738,488.8548,-3.6095
280.4602,465.4940,-3.2085,262.1900,470.8132,-2.7295,242.7923,477.3563,0.9464,223.0466,482.7252,3.1048,203.5310,483.9793,3.1260,182.8862,483.9023,-0.6094,162.5559,486.8439,-3.3330
282.6911,464.8484,-2.5482,263.9606,469.3109,-3.5564,244.9201,476.2875,-0.7539,225.4627,482.6078,2.5257,206.4781,485.1742,3.3779,185.3210,484.9505,0.8090,164.8739,486.0355,-2.4983
285.3774,464.6530,-1.6439,266.6072,467.7085,-3.7263,247.0606,474.4290,-1.8929,227.5883,481.7152,1.1903,209.0236,485.8166,3.4765,188.1684,486.5249,1.9919,167.1868,485.9379,-1.3954
287.7581,464.5090,-0.3420,268.8173,466.9294,-3.1948,249.0124,472.6322,-3.2539,229.7729,480.2917,0.0464,211.5235,485.8232,3.0339,191.1152,487.8518,3.0659,169.8720,487.0563,-0.1509
290.2201,464.4178,1.3357,271.2266,466.8923,-1.6446,250.9429,471.3039,-3.5344,232.1694,478.5680,-1.3088,213.8275,485.4567,2.4462,193.8236,489.0875,3.4836,172.5683,488.4072,1.6225
292.8047,464.8417,2.4944,273.4188,466.6195,-0.6727,253.3471,470.0275,-3.3770,233.8808,476.4059,-2.6429,215.9289,484.1293,0.9923,196.3418,489.5344,3.5508,175.5486,490.1279,2.6671
295.4652,465.1001,3.1192,276.1873,466.9651,0.8354,255.8521,469.1414,-2.8632,236.0520,474.9128,-3.1597,217.9744,482.4398,-0.7851,198.8412,489.6944,2.7053,178.4872,491.4166,3.1084
297.8676,464.8970,3.2545,278.7981,467.2811,2.1004,258.0589,469.1246,-1.7825,238.0615,473.5343,-3.7586,220.0578,480.2104,-1.9754,200.9942,488.4921,1.7990,180.9196,492.6435,3.5153
300.2333,464.9966,3.3459,281.1574,467.5867,3.1084,260.7739,469.3278,-0.3070,240.2283,471.9335,-3.3910,222.1049,478.1501,-3.0304,203.3449,486.9907,0.3860,183.4053,493.1472,3.0558
302.5949,464.3251,2.2188,283.7278,468.0922,3.5933,263.3004,469.6846,1.5150,242.7550,471.6481,-2.4353,223.9692,476.2739,-3.6260,205.0413,484.6748,-1.1850,185.9820,492.8671,2.4106
