snout_X,snout_Y,snout_Z,mid1_X,mid1_Y,mid1_Z,mid2_X,mid2_Y,mid2_Z,mid3_X,mid3_Y,mid3_Z,mid4_X,mid4_Y,mid4_Z,peduncle_X,peduncle_Y,peduncle_Z,caudaltip_X,caudaltip_Y,caudaltip_Z
219.8649,479.9643,2.2007,200.5832,481.9218,-1.1455,180.7941,485.9396,-3.3121,161.2984,492.5122,-2.5325,143.3546,499.9534,1.0757,123.3433,504.8343,3.5457,102.3408,504.9762,2.5931
222.1899,480.1682,3.3778,202.8965,482.0724,0.1996,182.4693,484.7465,-3.0605,163.2633,490.8597,-2.9076,145.1824,498.5043,-0.4325,125.8195,504.8513,2.9767,105.1296,506.6896,3.0730
224.4447,480.3433,3.5230,205.1296,482.5947,1.7245,184.7080,484.3279,-2.0051,165.1019,489.0894,-3.8509,146.7721,496.6524,-1.3915,127.7346,504.2443,2.1785,107.2916,507.5886,3.6445
226.6224,480.4163,3.6667,207.5640,482.6114,2.4197,187.0807,484.3426,-1.0662,166.6914,487.6603,-3.2724,148.5397,494.7543,-2.3970,129.8608,503.2194,0.7769,109.6358,508.3756,3.2541
228.7570,479.9518,3.0027,209.7244,483.1896,3.1761,189.1432,485.1799,0.4943,169.1676,487.4653,-3.1149,150.2846,492.5982,-3.1778,131.5826,501.1961,-0.6777,112.1368,508.4589,3.0005
230.7733,479.5288,1.8065,212.2563,483.8314,3.4886,191.5420,485.2947,1.6957,171.2172,487.1408,-1.8841,152.4053,491.0550,-3.5436,133.4565,499.2629,-1.8356,114.1767,507.4865,2.0153
232.9532,478.6374,0.5611,214.5360,483.4673,3.4142,193.9566,485.8657,2.8695,173.5470,487.1586,-0.4327,154.0214,489.6758,-3.5004,134.9715,497.0879,-2.8095,116.0907,506.2388,0.3670
234.8813,477.5189,-0.6033,216.1714,483.3650,2.7578,196.2218,486.8078,3.4747,176.0125,487.4924,0.4602,156.5890,488.9790,-2.7529,136.9105,494.9943,-3.4996,117.7308,504.5119,-0.7933
237.1826,476.4730,-1.6373,218.6194,482.5708,1.5854,198.5473,486.8035,3.3195,178.0549,488.6007,1.6772,158.3880,489.3179,-1.6930,138.5445,493.5815,-3.4172,119.6449,502.1452,-1.8791
238.8005,475.4587,-2.8513,220.5563,481.6790,0.1070,200.5882,486.9397,3.1691,180.2261,489.2332,2.9300,160.9368,489.7228,-0.1663,140.6534,491.7865,-3.0698,121.1396,499.5851,-2.8255
240.7056,474.5680,-3.5624,222.6728,480.3133,-0.8371,202.9423,486.7084,2.4206,183.0909,489.9551,3.5626,163.1748,490.2781,1.0539,142.6707,491.8092,-2.5612,123.0891,497.4922,-3.4864
243.0436,473.3820,-3.5577,224.7159,478.8792,-2.5629,205.1411,486.1237,1.2934,185.1378,490.2512,3.4672,165.8188,491.3824,2.4782,145.0240,491.5579,-1.1228,124.9274,495.5253,-3.8709
245.0958,472.8756,-2.9182,226.1867,478.0397,-3.1999,206.9190,484.9638,-0.0952,187.4777,490.3915,3.2074,168.2428,492.8496,3.2979,147.0282,492.2827,0.2460,126.8616,494.4694,-3.0993
247.1760,472.5010,-2.3052,228.5333,476.4001,-3.4644,208.9657,483.4831,-1.1318,189.4984,489.9390,2.1754,170.4907,493.6021,3.6752,149.7895,493.2166,1.2570,129.0248,493.9008,-2.0162
249.3787,472.0486,-1.1466,230.1228,475.7051,-3.3791,210.6236,481.7231,-2.4085,191.2759,489.0955,1.0649,172.7574,493.6003,3.3872,152.1541,494.5642,2.4893,131.1718,494.1522,-0.8821
251.6253,472.0552,0.1579,232.4591,474.9216,-3.1105,212.9094,480.1504,-3.2492,193.3615,487.6744,-0.5505,174.9204,493.8867,2.8399,154.5772,496.1040,3.4214,133.6188,495.0169,0.4194
253.6729,472.4067,1.7513,234.5132,474.5785,-2.1350,214.4864,479.1038,-3.4151,195.1818,486.2887,-1.4023,177.3237,493.0994,1.9764,157.1654,497.1664,3.7384,136.3645,496.6093,1.4208
255.9759,472.7228,2.8987,236.8755,474.6775,-0.7425,216.5308,478.0754,-3.5017,197.0829,484.3719,-2.6037,178.9369,492.1871,0.5702,159.3442,497.5387,3.6499,138.8723,498.2442,2.8090
258.2574,472.6048,3.5821,239.0234,474.8685,0.6860,218.4444,477.0293,-2.6647,199.2426,482.5492,-3.2718,181.0407,490.2027,-0.8334,161.7216,497.4827,2.5255,141.4058,499.3936,3.4147
260.5474,472.5492,3.4921,241.4544,474.8113,1.7711,220.8700,476.8018,-1.5673,200.8925,481.1584,-3.5793,182.9767,488.6595,-1.9085,163.6116,496.8042,1.7302,144.0058,500.5834,3.5597
262.5705,472.5403,3.2966,243.5156,475.4045,2.8836,222.9323,476.9801,-0.3907,202.9833,480.1584,-3.2103,184.6042,486.6526,-2.9870,165.6128,495.0197,0.3380,146.0051,500.8527,3.3285
