snout_X,snout_Y,snout_Z,mid1_X,mid1_Y,mid1_Z,mid2_X,mid2_Y,mid2_Z,mid3_X,mid3_Y,mid3_Z,mid4_X,mid4_Y,mid4_Z,peduncle_X,peduncle_Y,peduncle_Z,caudaltip_X,caudaltip_Y,caudaltip_Z
219.7053,479.8270,2.3148,200.7152,481.9794,-1.0342,180.6846,485.4640,-3.3524,161.1877,492.5967,-2.3725,143.1059,500.0551,1.1202,123.5486,504.7631,3.5647,102.4196,505.0183,2.2285
221.7358,480.3064,2.9773,202.9391,482.3088,0.2721,182.4174,485.0840,-3.0538,162.6772,490.7887,-3.3182,144.9458,498.7994,-0.2910,125.2431,505.2004,2.9574,104.7072,506.3702,3.0169
223.7914,480.3734,3.7029,204.5459,482.7039,1.2719,184.5201,484.6619,-1.9264,164.4947,489.4951,-3.4148,146.0997,497.1141,-1.3930,127.3606,504.2984,2.3562,106.7004,507.6959,3.5930
225.4823,480.3959,3.5494,206.5663,482.9789,2.1204,185.6408,484.8814,-1.2830,166.0181,488.0978,-3.6055,147.5215,495.3767,-2.3626,128.6503,503.7063,1.3968,108.7688,508.4870,3.4387
227.2565,480.2481,3.2293,208.8727,483.2655,3.2951,187.7580,484.7723,0.3236,167.4035,487.4364,-3.1609,149.2766,493.4557,-3.2958,130.3075,502.0965,-0.1299,110.8086,508.7062,3.0927
229.3495,479.9788,2.4512,210.3741,483.6839,3.4757,189.9799,485.1761,1.3415,168.9938,487.1478,-2.3855,150.4895,491.9707,-3.4253,131.6149,500.5246,-1.2862,112.4672,508.5302,2.3330
230.8444,478.9775,1.0982,212.2873,484.0346,3.3707,191.9913,485.9967,2.3742,171.2515,487.2818,-1.3214,152.3805,490.7308,-3.8544,132.9450,498.6270,-2.0897,113.9291,507.4014,1.2449
232.5765,478.8853,-0.0861,214.1015,483.7605,2.8214,193.9584,486.4491,3.0206,173.0966,487.5225,-0.3310,154.0585,489.8264,-3.1535,134.7411,496.5843,-3.0522,115.3130,505.9159,-0.0465
233.9802,477.3270,-1.0427,215.8193,483.2664,2.3847,195.8399,486.8972,3.4755,175.3807,488.1067,1.1705,155.7971,489.6014,-2.3706,135.8841,494.7452,-3.4447,117.1421,503.8407,-1.1859
235.8909,476.7087,-2.2145,217.4242,482.6623,1.2298,197.6242,487.6382,3.8213,177.1785,489.1990,2.1737,157.7139,489.5898,-1.3239,137.4745,493.3443,-3.5974,118.4008,501.7202,-2.1996
