eye_X,eye_Y,eye_Z,snout_X,snout_Y,snout_Z,peduncle_X,peduncle_Y,peduncle_Z,dorsaltip_X,dorsaltip_Y,dorsaltip_Z,analtip_X,analtip_Y,analtip_Z,caudaltip_X,caudaltip_Y,caudaltip_Z,Rpecttip_X,Rpecttip_Y,Rpecttip_Z,Rpectbase_X,Rpectbase_Y,Rpectbase_Z,Lpectbase_X,Lpectbase_Y,Lpectbase_Z,Lpecttip_X,Lpecttip_Y,Lpecttip_Z,Rpelvictip_X,Rpelvictip_Y,Rpelvictip_Z,Rpelvicbase_X,Rpelvicbase_Y,Rpelvicbase_Z,Lpelvictip_X,Lpelvictip_Y,Lpelvictip_Z,Lpelvicbase_X,Lpelvicbase_Y,Lpelvicbase_Z
0.00384,5.954911,5.321026,-0.311482,6.342874,5.355081,7.055649,5.443993,1.703624,7.062223,5.421401,2.617248,7.106566,5.70385,1.197082,9.193717,4.890116,1.464345,1.682083,5.300977,3.463579,0.921036,5.899682,4.28109,1.064919,6.602012,4.356328,1501.452381,798.082888,NaN,5.250318,5.91017,1.256771,4.686123,5.961723,1.795974,5.460572,6.236423,1.348064,4.675258,6.221689,1.829656
0.001655,5.953831,5.323566,-0.309916,6.344547,5.355036,7.053708,5.441362,1.707323,7.060219,5.437757,2.618321,7.095637,5.68488,1.198706,9.195504,4.889511,1.461759,1.635101,5.264941,3.479765,0.905885,5.881302,4.29176,1.049808,6.5839,4.366963,1500.0671,782.907705,NaN,5.253765,5.891572,1.250297,4.668635,5.942476,1.809054,5.442958,6.217145,1.360803,4.657798,6.202533,1.842725
0.000934,5.9506,5.32327,-0.310937,6.344129,5.358166,7.052186,5.441252,1.708148,7.049846,5.419062,2.618711,7.095276,5.684888,1.198539,9.19533,4.889925,1.458997,1.686298,5.20028,3.501103,0.905885,5.881302,4.29176,1.049808,6.5839,4.366963,1476.517316,773.662119,NaN,5.213963,5.890554,1.264618,4.668635,5.942476,1.809054,5.430397,6.214454,1.402096,4.657798,6.202533,1.842725
-0.009874,5.954494,5.323777,-0.310978,6.343794,5.358156,7.048936,5.440861,1.710346,7.047844,5.41556,2.62035,7.094981,5.684896,1.198374,9.194582,4.888521,1.45641,1.697848,5.166328,3.525976,0.905885,5.881302,4.29176,1.049808,6.5839,4.366963,1458.508658,750.548154,NaN,5.21403,5.89017,1.271421,4.668635,5.942476,1.809054,5.430397,6.214454,1.402096,4.657798,6.202533,1.842725
-0.01164,5.954319,5.32419,-0.310652,6.342946,5.358104,7.048446,5.440308,1.711287,7.046474,5.414711,2.621753,7.089226,5.684905,1.198586,9.193717,4.886085,1.455061,1.699264,5.123634,3.561112,0.905885,5.881302,4.29176,1.049808,6.5839,4.366963,1455.738095,736.679775,NaN,5.21403,5.89017,1.271421,4.668635,5.942476,1.809054,5.430397,6.214454,1.402096,4.657798,6.202533,1.842725
-0.01765,5.956955,5.324848,-0.310236,6.343634,5.358101,7.049101,5.439688,1.712098,7.047488,5.414715,2.62298,7.078478,5.6683,1.197685,9.192569,4.882749,1.453224,1.671196,5.087439,3.640915,0.905885,5.881302,4.29176,1.049808,6.5839,4.366963,1450.19697,720.5,NaN,5.21403,5.89017,1.271421,4.668635,5.942476,1.809054,5.430397,6.214454,1.402096,4.657798,6.202533,1.842725
-0.018396,5.956246,5.325816,-0.310008,6.34289,5.366761,7.049647,5.43986,1.712893,7.04547,5.414736,2.624069,7.078214,5.668296,1.197748,9.193055,4.876474,1.448781,1.632911,5.037759,3.669921,0.905885,5.881302,4.29176,1.049808,6.5839,4.366963,1446.041126,705.475923,NaN,5.21403,5.89017,1.271421,4.668635,5.942476,1.809054,5.430397,6.214454,1.402096,4.652565,6.186089,1.841854
-0.022097,5.960379,5.326983,-0.310136,6.341389,5.37248,7.047494,5.439913,1.713382,7.045174,5.41443,2.6245,7.075841,5.668284,1.19786,9.192036,4.870234,1.446811,1.585584,5.005099,3.674808,0.900648,5.881081,4.292073,1.049808,6.5839,4.366963,1440.5,699.697432,NaN,5.21403,5.89017,1.271421,4.668635,5.942476,1.809054,5.430448,6.214045,1.408861,4.652664,6.17791,1.84131
-0.021905,5.960249,5.329283,-0.308147,6.341967,5.375305,7.044555,5.438378,1.714071,7.044521,5.413118,2.625175,7.075643,5.668284,1.197851,9.190776,4.866351,1.445679,1.580329,5.005349,3.674414,0.900648,5.881081,4.292073,1.047233,6.584036,4.366779,1430.80303,688.140449,NaN,5.21403,5.89017,1.271421,4.668635,5.942476,1.809054,5.430551,6.213229,1.422389,4.652664,6.17791,1.84131
-0.02513,5.963328,5.334277,-0.307538,6.341037,5.376699,7.043927,5.440165,1.714251,7.044141,5.414403,2.626429,7.073073,5.668267,1.198029,9.190118,4.864442,1.442739,1.529871,5.009816,3.607074,0.900648,5.881081,4.292073,1.045175,6.583525,4.376395,1429.417749,677.739165,NaN,5.21403,5.89017,1.271421,4.668635,5.942476,1.809054,5.430706,6.212004,1.442677,4.652664,6.17791,1.84131
-0.024901,5.965153,5.340574,-0.308253,6.341361,5.380944,7.041111,5.440308,1.71438,7.044693,5.413507,2.627253,7.072909,5.668271,1.197946,9.189663,4.862269,1.439338,1.507994,5.004748,3.537084,0.900648,5.881081,4.292073,1.042601,6.583661,4.376212,1429.417749,674.272071,NaN,5.21403,5.89017,1.271421,4.668635,5.942476,1.809054,5.430579,6.220242,1.443255,4.652664,6.17791,1.84131
-0.024079,5.966134,5.346472,-0.307124,6.341488,5.386527,7.04809,5.443441,1.714453,7.049375,5.418569,2.628233,7.072713,5.668284,1.19771,9.188675,4.860953,1.437955,1.469759,5.007995,3.4576,0.900648,5.881081,4.292073,1.042601,6.583661,4.376212,1429.417749,674.272071,NaN,5.210686,5.889073,1.291624,4.668635,5.942476,1.809054,5.43063,6.219833,1.450015,4.652664,6.17791,1.84131
-0.023288,5.967382,5.353266,-0.307572,6.342425,5.390777,7.046727,5.441009,1.714306,7.048389,5.415206,2.628507,7.072515,5.668284,1.197701,9.18712,4.85403,1.436368,1.437934,4.991053,3.458719,0.890815,5.881097,4.30121,1.037452,6.583934,4.375847,1429.417749,674.272071,NaN,5.210686,5.889073,1.291624,4.668738,5.942088,1.815811,5.43063,6.219833,1.450015,4.652978,6.176694,1.861524
-0.022107,5.968281,5.359377,-0.307831,6.340315,5.393546,7.044488,5.440653,1.714387,7.046974,5.414493,2.628636,7.072318,5.668284,1.197691,9.187253,4.84764,1.432733,1.400212,4.991817,3.443699,0.88438,5.880123,4.32535,1.037452,6.583934,4.375847,1451.582251,683.517657,NaN,5.203731,5.888418,1.304821,4.668944,5.941314,1.829322,5.430377,6.236308,1.45117,4.653398,6.175072,1.888466
-0.020074,5.971025,5.365195,-0.307496,6.334714,5.394791,7.04292,5.440581,1.714468,7.045436,5.414346,2.628812,7.072088,5.668288,1.197605,9.187086,4.839394,1.430024,1.312015,4.985142,3.42301,0.877412,5.879718,4.339613,1.037452,6.583934,4.375847,1465.435065,706.631621,NaN,5.203731,5.888418,1.304821,4.669254,5.940153,1.849584,5.42987,6.269255,1.453478,4.656825,6.190951,1.896494
-0.017796,5.971903,5.368835,-0.307494,6.329228,5.396063,7.042623,5.440371,1.714356,7.045294,5.413988,2.628867,7.071924,5.668296,1.197446,9.186491,4.833976,1.428772,1.276016,4.98848,3.385067,0.870177,5.879598,4.34894,1.037452,6.583934,4.375847,1468.205628,719.344302,NaN,5.200187,5.888475,1.30462,4.669357,5.939766,1.856336,5.42949,6.293963,1.45521,4.673014,6.214916,1.910917
-0.016515,5.973882,5.375452,-0.308643,6.322788,5.408795,7.041541,5.436089,1.713869,7.045047,5.410098,2.628571,7.071629,5.6683,1.197357,9.186761,4.827123,1.427449,1.216705,4.942409,3.36154,0.870177,5.879598,4.34894,1.037452,6.583934,4.375847,1470.97619,723.967095,NaN,5.199474,5.937971,1.308148,4.66946,5.939379,1.863088,5.431146,6.317952,1.470092,4.678341,6.223175,1.91124
-0.01554,5.97629,5.381578,-0.307975,6.315946,5.41427,7.04157,5.434516,1.713739,7.045293,5.408913,2.628132,7.06929,5.668292,1.197396,9.185967,4.822452,1.4247,1.206101,4.942045,3.36218,0.870714,5.879032,4.358813,1.037452,6.583934,4.375847,1470.97619,727.434189,NaN,5.204587,5.962781,1.309727,4.663933,5.947476,1.863835,5.431146,6.317952,1.470092,4.689093,6.231522,1.91135
-0.014344,5.978148,5.387973,-0.307163,6.309812,5.422588,7.044643,5.443476,1.713859,7.049176,5.41855,2.628595,7.066686,5.668281,1.197498,9.185377,4.820418,1.423201,1.160499,4.94462,3.344328,0.870982,5.87875,4.363748,1.037452,6.583934,4.375847,1470.97619,734.368379,NaN,5.204587,5.962781,1.309727,4.663739,5.963838,1.864918,5.431071,6.32577,1.477419,4.689093,6.231522,1.91135
