eye_X,eye_Y,eye_Z,snout_X,snout_Y,snout_Z,peduncle_X,peduncle_Y,peduncle_Z,dorsaltip_X,dorsaltip_Y,dorsaltip_Z,analtip_X,analtip_Y,analtip_Z,caudaltip_X,caudaltip_Y,caudaltip_Z,Rpecttip_X,Rpecttip_Y,Rpecttip_Z,Rpectbase_X,Rpectbase_Y,Rpectbase_Z,Lpectbase_X,Lpectbase_Y,Lpectbase_Z,Lpecttip_X,Lpecttip_Y,Lpecttip_Z,Rpelvictip_X,Rpelvictip_Y,Rpelvictip_Z,Rpelvicbase_X,Rpelvicbase_Y,Rpelvicbase_Z,Lpelvictip_X,Lpelvictip_Y,Lpelvictip_Z,Lpelvicbase_X,Lpelvicbase_Y,Lpelvicbase_Z
-1.232628,5.089383,-7.966761,-2.087865,4.965259,-7.969328,5.456882,3.744442,-3.702478,6.220345,4.149077,-4.432539,7.350517,2.444845,-3.252391,NaN,NaN,NaN,0.153444,4.419888,-5.810194,-0.708175,4.750896,-6.699743,-1.240846,3.63469,-7.33792,-0.757149,2.476336,-6.157302,2.829292,3.797051,-3.180404,2.681449,3.390943,-3.991132,2.777572,2.868638,-3.275026,2.628177,3.197661,-4.035049
-1.23611,5.084835,-7.985849,-2.103567,4.964876,-7.982275,5.462974,3.745007,-3.708024,6.207483,4.176955,-4.428114,7.34315,2.572714,-3.240481,7.372376,2.66404,-3.210321,0.177064,4.431853,-5.92712,-0.701291,4.743469,-6.717992,NaN,NaN,NaN,-0.950355,2.471137,-6.13103,2.695517,3.775948,-3.262086,2.586782,3.352487,-3.991348,2.716342,2.87704,-3.318281,2.589924,3.158866,-4.046792
-1.2529,5.079701,-7.99954,-2.132126,4.974836,-7.980096,5.448947,3.816918,-3.707841,6.18167,4.231781,-4.442741,7.347492,2.642155,-3.268821,7.398321,2.786342,-3.204719,0.316745,4.529425,-6.042472,-0.749023,4.780883,-6.724783,-1.135926,3.741472,-6.774804,-0.990707,2.467157,-6.122528,2.731073,3.721119,-3.347118,2.628983,3.362164,-4.035069,2.596675,2.831921,-3.360863,2.506927,3.075417,-4.039493
-1.258745,5.081039,-8.015098,-2.17239,5.005525,-7.981775,5.440181,3.818245,-3.723894,6.135931,4.242025,-4.462208,7.37157,2.69855,-3.267667,7.306033,2.830944,-3.198481,0.404945,4.789705,-6.113543,-0.749023,4.780883,-6.724783,-1.117803,3.754481,-6.776745,-1.066292,2.48161,-6.141564,2.730091,3.699473,-3.349329,2.619352,3.334682,-4.084718,2.558901,2.805818,-3.384252,2.506927,3.075417,-4.039493
-1.265853,5.082485,-8.028532,-2.180063,5.006893,-7.989538,5.431595,3.830629,-3.740966,6.124771,4.298432,-4.47904,7.389877,2.710742,-3.278751,7.311847,2.853212,-3.193739,0.458113,4.829498,-6.223188,-0.758769,4.807436,-6.724912,-1.133968,3.779578,-6.769474,-1.180344,2.478204,-6.119181,2.74013,3.673429,-3.354331,2.612913,3.317794,-4.085397,2.532763,2.795918,-3.407203,2.506927,3.075417,-4.039493
-1.273252,5.08393,-8.040668,-2.188549,5.00857,-8.003377,5.417159,3.842574,-3.757012,6.099966,4.298635,-4.50014,7.382084,2.722279,-3.27727,7.290091,2.870739,-3.172211,0.446047,5.056739,-6.299297,-0.766114,4.857107,-6.734613,-1.135202,3.796887,-6.766595,-1.272281,2.485875,-6.251842,2.742546,3.647462,-3.369666,2.612913,3.317794,-4.085397,2.52895,2.795778,-3.436481,2.506927,3.075417,-4.039493
-1.332067,5.112738,-8.036954,-2.196022,5.009929,-8.011593,5.40688,3.849694,-3.77659,6.08296,4.354549,-4.514503,7.373949,2.756925,-3.287825,7.292149,2.980503,-3.159196,0.391902,5.16051,-6.33208,-0.790949,4.878414,-6.755115,-1.145743,3.818905,-6.760994,-1.34999,2.500027,-6.261867,2.732032,3.669983,-3.396935,2.594356,3.283509,-4.085653,2.528818,2.784999,-3.443676,2.506927,3.075417,-4.039493
-1.461881,5.138801,-8.017982,-2.204606,5.011632,-8.025587,5.371042,3.881667,-3.786194,6.029057,4.352261,-4.525664,7.364191,2.85122,-3.278147,7.343682,3.202855,-3.145315,0.385952,5.248382,-6.336515,-0.784471,4.878307,-6.795602,-1.114986,3.798842,-6.770656,-1.512925,2.497858,-6.286054,2.729844,3.636541,-3.41814,2.540972,3.229792,-4.081056,2.512385,2.778268,-3.45299,2.506927,3.075417,-4.039493
-1.487626,5.138267,-8.027841,-2.211779,5.012968,-8.034332,5.349062,3.89324,-3.798553,5.967468,4.30514,-4.537117,7.367625,2.988634,-3.264863,7.36938,3.319515,-3.137857,0.382576,5.349911,-6.377978,-0.79346,4.896854,-6.812359,-1.140083,3.81432,-6.807553,-1.697077,2.599034,-6.41929,2.735352,3.595042,-3.423941,2.492485,3.209609,-4.106156,2.466047,2.747311,-3.446636,2.506927,3.075417,-4.039493
-1.50707,5.155255,-8.034577,-2.255785,5.010215,-8.036217,5.340659,3.921956,-3.808433,5.964733,4.306921,-4.553269,7.358108,3.23152,-3.245142,7.421729,3.324078,-3.202924,0.33941,5.390544,-6.430195,-0.79855,4.897727,-6.818745,-1.14186,3.85454,-6.840479,-1.766276,2.558529,-6.555803,2.72781,3.55774,-3.427621,2.417555,3.193605,-4.120339,2.454525,2.740931,-3.444901,2.494818,3.058045,-4.039027
